region;Skattesats till landsting 2000;Skattesats till landsting 2001;Skattesats till landsting 2002;Skattesats till landsting 2003;Skattesats till landsting 2004;Skattesats till landsting 2005;Skattesats till landsting 2006;Skattesats till landsting 2007;Skattesats till landsting 2008;Skattesats till landsting 2009;Skattesats till landsting 2010;Skattesats till landsting 2011;Skattesats till landsting 2012;Skattesats till landsting 2013;Skattesats till landsting 2014;Skattesats till landsting 2015;Skattesats till landsting 2016;Skattesats till landsting 2017;Skattesats till landsting 2018
1498 Tidaholm;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1499 Falköping;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1715 Kil;10;10;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,75;10,75;10,75;11,2;11,2;11,2;11,2;11,2;11,2;11,2
1730 Eda;10;10;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,75;10,75;10,75;11,2;11,2;11,2;11,2;11,2;11,2;11,2
1737 Torsby;10;10;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,75;10,75;10,75;11,2;11,2;11,2;11,2;11,2;11,2;11,2
1760 Storfors;10;10;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,75;10,75;10,75;11,2;11,2;11,2;11,2;11,2;11,2;11,2
1761 Hammarö;10;10;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,75;10,75;10,75;11,2;11,2;11,2;11,2;11,2;11,2;11,2
1762 Munkfors;10;10;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,75;10,75;10,75;11,2;11,2;11,2;11,2;11,2;11,2;11,2
1763 Forshaga;10;10;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,75;10,75;10,75;11,2;11,2;11,2;11,2;11,2;11,2;11,2
1764 Grums;10;10;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,75;10,75;10,75;11,2;11,2;11,2;11,2;11,2;11,2;11,2
1765 Årjäng;10;10;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,75;10,75;10,75;11,2;11,2;11,2;11,2;11,2;11,2;11,2
1766 Sunne;10;10;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,75;10,75;10,75;11,2;11,2;11,2;11,2;11,2;11,2;11,2
1780 Karlstad;10;10;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,75;10,75;10,75;11,2;11,2;11,2;11,2;11,2;11,2;11,2
