region,Skattesats till kommun 2000,Skattesats till kommun 2001,Skattesats till kommun 2002,Skattesats till kommun 2003,Skattesats till kommun 2004,Skattesats till kommun 2005,Skattesats till kommun 2006,Skattesats till kommun 2007,Skattesats till kommun 2008,Skattesats till kommun 2009,Skattesats till kommun 2010,Skattesats till kommun 2011,Skattesats till kommun 2012,Skattesats till kommun 2013,Skattesats till kommun 2014,Skattesats till kommun 2015,Skattesats till kommun 2016,Skattesats till kommun 2017,Skattesats till kommun 2018
1445 Essunga,20.29,20.29,20.29,20.29,20.79,21.5,21.5,21.5,21.5,21.5,22,22,21.57,21.57,21.57,21.57,21.57,21.57,21.57
1470 Vara,20.29,20.29,20.29,20.29,20.9,20.9,20.9,20.9,20.9,21.2,21.2,21.2,21.27,21.27,21.27,21.27,21.27,21.77,21.77
1282 Landskrona,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24,20.24
1496 Skövde,20.24,20.24,20.24,20.24,21.14,21.14,21.14,21.14,20.99,20.99,20.99,20.99,20.56,20.56,20.86,20.86,20.86,20.86,20.86
1452 Tranemo,20.23,20.23,20.23,20.75,20.75,20.75,20.75,20.75,20.75,21,21,21,20.57,20.57,20.57,21,21,21.5,21.5
1407 Öckerö,20.19,20.19,20.19,20.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,21.19,20.76,20.76,20.76,20.76,20.76,21.21,21.21
1277 Åstorp,20.11,20.11,20.11,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29,20.29
1276 Klippan,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.01,20.75,20.75,20.75,20.75
1286 Ystad,19.86,19.86,19.86,19.86,20.36,20.36,20.36,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11,20.11
1285 Eslöv,20.24,19.74,19.74,19.74,19.74,19.74,19.74,19.74,19.74,19.74,19.74,19.74,19.74,20.24,20.24,20.24,20.24,20.54,20.54
1284 Höganäs,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73,19.73
1283 Helsingborg,19.71,19.71,19.71,19.71,20.21,20.21,20.21,20.21,20.21,20.11,20.21,20.21,20.21,20.21,20.21,20.21,20.21,20.21,20.21
1278 Båstad,19.61,19.61,19.61,19.93,20.23,20.23,20.23,20.23,20.23,20.23,20.23,20.23,20.23,20.23,20.23,20.23,20.23,20.23,20.23
1287 Trelleborg,19.61,19.61,19.61,20.36,20.36,20.36,20.36,20.36,20.36,20.36,20.36,20.36,20.36,20.36,20.36,20.36,20.36,20.6,20.6
1380 Halmstad,19.53,19.53,19.53,20.03,20.03,20.03,20.03,20.03,20.03,20.03,20.78,20.78,20.43,20.43,20.43,20.43,20.43,20.98,20.98
1381 Laholm,19.53,19.53,19.53,19.53,20.28,20.28,20.28,20.28,20.28,20.78,20.78,20.78,20.58,20.58,20.58,20.58,20.58,20.58,20.58
1292 Ängelholm,18.86,18.86,18.86,19.04,19.04,19.04,19.04,19.04,19.04,19.04,19.04,19.04,19.04,19.04,19.54,19.79,19.79,20.24,20.24
